Полный адрес,Адрес ТП,Источник теплоснабжения,Балансодержатель,UNOM,ЦТП,Вид ТП,№ ОДС,geoData,geodata_center,id_administration,id_Municipal,ID ODS
"город Москва, Ивантеевская улица, дом 3, корпус 1","Ивантеевская ул., д.3, корп.1",ТЭЦ №23,ПАО «МОЭК»,64115.0,04-01-0616/002,ИТП,ОДС №12-Богородское,"{coordinates=[[[37.716709758, 55.82177947], [37.716741681, 55.821762655], [37.716760646, 55.821772779], [37.716792275, 55.821757104], [37.716806167, 55.821766514], [37.716874202, 55.821730678], [37.716858507, 55.821721234], [37.716895905, 55.821699566], [37.716880832, 55.821689178], [37.717021, 55.821614978], [37.717035825, 55.821623898], [37.7170713, 55.821604227], [37.71708874, 55.821614721], [37.717171748, 55.821570014], [37.717157855, 55.821560604], [37.717208181, 55.821534095], [37.717278875, 55.821575578], [37.717371141, 55.821526978], [37.717174246, 55.821405354], [37.717192886, 55.821395535], [37.717135393, 55.821359891], [37.717059844, 55.821400671], [37.717034495, 55.821386471], [37.716829338, 55.821496503], [37.71685195, 55.82151116], [37.716758692, 55.821561266], [37.716734275, 55.821546575], [37.716547551, 55.821645857], [37.716578799, 55.821664608], [37.71654663, 55.821681599], [37.716709758, 55.82177947]]], type=Polygon}","{coordinates=[37.716931854, 55.82156564], type=Point}",1.0,1.0,143494900.0
"город Москва, Погонный проезд, дом 7, корпус 3","Погонный пр., д.7, корп.3, стр.1",ТЭЦ №23,ПАО «МОЭК»,64023.0,04-01-0611/022,ЦТП,ОДС №12-Богородское,"{coordinates=[[[37.707604939, 55.81986365], [37.707416374, 55.819838865], [37.707406412, 55.819869686], [37.707374034, 55.819877723], [37.707364029, 55.819900562], [37.707392471, 55.819914197], [37.707374496, 55.819964415], [37.707346165, 55.819969024], [37.707330116, 55.820000996], [37.707265235, 55.819990843], [37.707233215, 55.820066171], [37.707251472, 55.82006842], [37.707245458, 55.820083271], [37.707249569, 55.820094667], [37.707267856, 55.820102618], [37.707286095, 55.820104867], [37.707296238, 55.82010485], [37.707320468, 55.820091126], [37.707419818, 55.820102362], [37.707423966, 55.820120599], [37.707523304, 55.82013299], [37.707547623, 55.82013295], [37.707559752, 55.820128369], [37.707575892, 55.820116921], [37.70758391, 55.820100944], [37.707579805, 55.820090689], [37.707569647, 55.820085005], [37.707603686, 55.820008516], [37.707636125, 55.820011882], [37.70766212, 55.819949108], [37.707633742, 55.819944594], [37.707662717, 55.819870973], [37.707604939, 55.81986365]]], type=Polygon}","{coordinates=[37.707495022, 55.819979933], type=Point}",1.0,1.0,143494900.0
"город Москва, Свободный проспект, дом 18","Свободный просп., д.14, стр.2",ТЭЦ №22,ПАО «МОЭК»,8413.0,04-04-0223/002,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.816716772, 55.75266715], [37.816751666, 55.752662622], [37.816769268, 55.752660818], [37.816825821, 55.752654043], [37.816893128, 55.752646452], [37.816870467, 55.752598602], [37.816971491, 55.752582368], [37.816907955, 55.752418844], [37.816976151, 55.752408975], [37.816954495, 55.752358272], [37.816887814, 55.752366995], [37.81682354, 55.752198836], [37.816719681, 55.752212301], [37.816708322, 55.752184946], [37.816523975, 55.752209375], [37.816566266, 55.752311644], [37.816413204, 55.752331722], [37.81645498, 55.752431993], [37.816399923, 55.752439546], [37.81642157, 55.752489108], [37.816475601, 55.752481558], [37.816515833, 55.752579272], [37.816671908, 55.752558616], [37.816716772, 55.75266715]]], type=Polygon}","{coordinates=[37.816681375, 55.752425418], type=Point}",1.0,2.0,143494904.0
"город Москва, Зелёный проспект, дом 83, корпус 4","Зелёный просп., д.83, корп.4, стр.2",ТЭЦ №22,ПАО «МОЭК»,8416.0,04-04-0223/040,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.8213641, 55.753015831], [37.821291945, 55.752850619], [37.821426246, 55.752826314], [37.82146513, 55.752819081], [37.821437804, 55.752756701], [37.821402453, 55.752762495], [37.821372155, 55.752765995], [37.821351478, 55.752710158], [37.821329225, 55.752712497], [37.821312208, 55.752670624], [37.821308585, 55.752661222], [37.821288363, 55.752660705], [37.821280088, 55.752637913], [37.82130231, 55.752635854], [37.821326555, 55.7526338], [37.821348813, 55.752632031], [37.821336402, 55.752601838], [37.821316189, 55.752602461], [37.821291935, 55.752603375], [37.821267679, 55.752604298], [37.821021261, 55.752646001], [37.821101531, 55.752814611], [37.821012652, 55.752828535], [37.821000387, 55.752816015], [37.820984231, 55.752818347], [37.820972138, 55.752822941], [37.820966102, 55.752826377], [37.820964135, 55.752833223], [37.820988884, 55.752892479], [37.821011165, 55.752893561], [37.821037899, 55.75294824], [37.821058126, 55.752949328], [37.821076715, 55.752997187], [37.821107093, 55.752999389], [37.821112743, 55.753013066], [37.821088513, 55.753017121], [37.821070342, 55.753020308], [37.821047605, 55.75302407], [37.821063088, 55.753061105], [37.821087318, 55.75305705], [37.821103502, 55.753054438], [37.821127734, 55.753050665], [37.8213641, 55.753015831]]], type=Polygon}","{coordinates=[37.821182915, 55.752830879], type=Point}",1.0,2.0,143494904.0
"город Москва, Федеративный проспект, дом 46, корпус 2","Зелёный просп., д.87, корп.1",ТЭЦ №22,ПАО «МОЭК»,27124.0,04-04-0223/015,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.824285278, 55.752592943], [37.824503452, 55.752559289], [37.824394182, 55.752308633], [37.824169916, 55.75233888], [37.824225017, 55.752460497], [37.82418714, 55.752465447], [37.824203609, 55.75250077], [37.82424048, 55.752494682], [37.824285278, 55.752592943]]], type=Polygon}","{coordinates=[37.824315671, 55.752399689], type=Point}",1.0,2.0,143494904.0
"город Москва, Свободный проспект, дом 21/2","Свободный просп., д.21/2, стр.2",ТЭЦ №22,ПАО «МОЭК»,22835.0,04-04-0223/043,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.821073434, 55.758198451], [37.820859225, 55.758226665], [37.820846343, 55.758195903], [37.820733196, 55.758211031], [37.820746078, 55.758241792], [37.820674352, 55.758251102], [37.820684163, 55.75827532], [37.820555851, 55.758292188], [37.82043055, 55.758308777], [37.820386682, 55.758202233], [37.820349554, 55.758113073], [37.82042886, 55.758102315], [37.820401552, 55.758038505], [37.820323243, 55.758049261], [37.820280432, 55.757946424], [37.820272684, 55.757927059], [37.820229866, 55.757823363], [37.820309174, 55.757812894], [37.820283879, 55.75775193], [37.820204575, 55.757762407], [37.820193217, 55.757735623], [37.820162913, 55.757739132], [37.820120172, 55.757644277], [37.820151496, 55.757640204], [37.820166132, 55.757638167], [37.820183814, 55.75763584], [37.820176068, 55.757617037], [37.820159414, 55.75761937], [37.820143254, 55.757621402], [37.820111928, 55.757625476], [37.820091293, 55.75757876], [37.820230721, 55.757559014], [37.820254457, 55.757555241], [37.820206635, 55.757459549], [37.820140979, 55.757469131], [37.82007784, 55.757478137], [37.820096879, 55.757520005], [37.820074165, 55.757523204], [37.819972621, 55.757538011], [37.820001477, 55.757601238], [37.819939331, 55.757610241], [37.819971262, 55.75768003], [37.820017251, 55.75767335], [37.820037302, 55.757717215], [37.819991842, 55.757723885], [37.820008858, 55.757761776], [37.820013986, 55.757772596], [37.820037227, 55.757769115], [37.820044958, 55.757786207], [37.82002476, 55.75778911], [37.820028377, 55.757797653], [37.820049472, 55.757843515], [37.820052576, 55.757850349], [37.820068237, 55.757848028], [37.820076981, 55.757867398], [37.820056784, 55.757870301], [37.820064515, 55.757887385], [37.820079436, 55.757920431], [37.820125393, 55.75791375], [37.82016867, 55.758009166], [37.820115133, 55.758017006], [37.820126978, 55.758042641], [37.820137787, 55.758067137], [37.820165565, 55.758063074], [37.820175356, 55.758084722], [37.820150095, 55.758088498], [37.820161948, 55.758115271], [37.82017636, 55.758146601], [37.820204139, 55.758142537], [37.820212915, 55.758161907], [37.820187654, 55.758165684], [37.820206693, 55.758207552], [37.820250632, 55.758201166], [37.820270718, 55.758245593], [37.820220224, 55.758252855], [37.820247507, 55.758313525], [37.820312171, 55.758304234], [37.820343603, 55.758374016], [37.820467865, 55.758356019], [37.820484342, 55.758392761], [37.820613671, 55.758374171], [37.820603877, 55.758352234], [37.820675594, 55.758341784], [37.820685891, 55.758364572], [37.820765193, 55.758353243], [37.820769306, 55.758361784], [37.820774467, 55.758372893], [37.820778082, 55.758381155], [37.820783215, 55.758392553], [37.820787333, 55.758401384], [37.820824215, 55.758395866], [37.820820608, 55.758388464], [37.820814942, 55.758376497], [37.820811355, 55.758367955], [37.820806193, 55.758356846], [37.820802075, 55.758348015], [37.820907133, 55.758332629], [37.820910744, 55.75834032], [37.820915369, 55.758350571], [37.820920019, 55.75835997], [37.820924639, 55.75836937], [37.820930815, 55.758382756], [37.820969716, 55.758376953], [37.82096405, 55.758364986], [37.820958893, 55.758354448], [37.820954781, 55.758346187], [37.82094965, 55.758335079], [37.820946037, 55.758327107], [37.821018284, 55.758316656], [37.820998698, 55.75827307], [37.821039623, 55.758267261], [37.821046819, 55.758283497], [37.821102377, 55.758275369], [37.821073434, 55.758198451]]], type=Polygon}","{coordinates=[37.82020619, 55.757936741], type=Point}",1.0,2.0,143494904.0
"город Москва, Федеративный проспект, дом 33","Сапёрный пр., д.10, стр.2",ТЭЦ №22,ПАО «МОЭК»,27108.0,04-04-0223/016,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.824217678, 55.75443989], [37.824413659, 55.754410858], [37.824393035, 55.754366143], [37.824378632, 55.754335666], [37.824314275, 55.754197522], [37.824302435, 55.754172748], [37.824239643, 55.75403917], [37.82422729, 55.754012679], [37.824157274, 55.753863146], [37.824146982, 55.753840929], [37.82412329, 55.753789952], [37.823941477, 55.753816666], [37.824217678, 55.75443989]]], type=Polygon}","{coordinates=[37.824170362, 55.754105959], type=Point}",1.0,2.0,143494904.0
"город Москва, Свободный проспект, дом 27","Сапёрный пр., д.2/23",ТЭЦ №22,ПАО «МОЭК»,22841.0,04-04-0223/010,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.819037957, 55.755478923], [37.819112129, 55.75564413], [37.819403059, 55.755603455], [37.819318748, 55.755434846], [37.819037957, 55.755478923]]], type=Polygon}","{coordinates=[37.819218918, 55.755541189], type=Point}",1.0,2.0,143494904.0
"город Москва, Федеративный проспект, дом 21, корпус 2","Свободный просп., д.10, корп.2, стр.2",ТЭЦ №22,ПАО «МОЭК»,27088.0,04-04-0223/030,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.817156445, 55.755186081], [37.81690998, 55.755224354], [37.816944936, 55.755296126], [37.816995452, 55.755288015], [37.816950591, 55.755494597], [37.816899769, 55.755465064], [37.816863569, 55.75548912], [37.816922523, 55.755524325], [37.816827589, 55.755540542], [37.81680957, 55.755500411], [37.816763061, 55.755508483], [37.816652456, 55.755525592], [37.816492858, 55.755550527], [37.816525245, 55.755616316], [37.816547459, 55.755612837], [37.81657216, 55.755662964], [37.816550445, 55.75566644], [37.816578719, 55.755723688], [37.816671147, 55.755709196], [37.81667988, 55.755727426], [37.816755129, 55.755715821], [37.816744344, 55.755693894], [37.816776183, 55.755688007], [37.816822652, 55.755679719], [37.816881216, 55.755670439], [37.816864669, 55.755624853], [37.816838339, 55.755619219], [37.816832175, 55.755607253], [37.816813645, 55.755570234], [37.816833814, 55.755559911], [37.816914696, 55.755556281], [37.816930946, 55.75556537], [37.816945126, 55.755568755], [37.816963324, 55.755568707], [37.81697949, 55.755567525], [37.816991626, 55.755564074], [37.817001697, 55.755559478], [37.817037936, 55.75554], [37.817046163, 55.755557082], [37.817191621, 55.755533893], [37.817187429, 55.755515659], [37.81724197, 55.755505247], [37.8173071, 55.755557548], [37.817418044, 55.755517345], [37.817299819, 55.755408141], [37.817235271, 55.755431121], [37.817182848, 55.75544951], [37.817217462, 55.755479076], [37.817027485, 55.755497819], [37.817034933, 55.755419096], [37.817055153, 55.755419043], [37.81707854, 55.755307194], [37.817052196, 55.75530384], [37.817060078, 55.755278725], [37.817181311, 55.75526016], [37.817189388, 55.755258998], [37.817156445, 55.755186081]]], type=Polygon}","{coordinates=[37.817272489, 55.755457287], type=Point}",1.0,2.0,143494904.0
"город Москва, Свободный проспект, дом 12/23","Свободный просп., д.12/23",ТЭЦ №22,ПАО «МОЭК»,27092.0,04-04-0223/008,ИТП,ОДС №12-Новогиреево,"{coordinates=[[[37.817734825, 55.754676976], [37.817759064, 55.754731383], [37.817775, 55.754766989], [37.817827571, 55.754885484], [37.817845598, 55.754925644], [37.817905838, 55.755061521], [37.817922859, 55.755100255], [37.817976945, 55.755221596], [37.818048029, 55.755382251], [37.818124778, 55.755554864], [37.818142809, 55.755595314], [37.818336413, 55.755570463], [37.818165834, 55.755191452], [37.818151921, 55.755159833], [37.81793085, 55.754652515], [37.817886381, 55.75465805], [37.817823763, 55.754665914], [37.817734825, 55.754676976]]], type=Polygon}","{coordinates=[37.818037538, 55.755130044], type=Point}",1.0,2.0,143494904.0
"город Москва, Федеративный проспект, дом 35","Федеративный просп., д.35",ТЭЦ №22,ПАО «МОЭК»,27111.0,04-04-0223/027,ИТП,ОДС №12-Новогиреево,"{coordinates=[[[37.824901141, 55.75368181], [37.824703104, 55.753706287], [37.824723712, 55.75375329], [37.824707558, 55.753755614], [37.824687359, 55.753758238], [37.824675241, 55.75375998], [37.82468762, 55.753789602], [37.824700236, 55.75378814], [37.82471792, 55.753786102], [37.824737128, 55.753784052], [37.824742294, 55.75379573], [37.824774772, 55.753870927], [37.824798998, 55.753926473], [37.824781815, 55.7539288], [37.824758574, 55.753932001], [37.824767897, 55.75395707], [37.82479114, 55.753954159], [37.824809817, 55.753951828], [37.82486962, 55.754088546], [37.824848401, 55.754091742], [37.824830723, 55.754094359], [37.824843082, 55.754121701], [37.824859767, 55.754119377], [37.824881984, 55.754116467], [37.824942802, 55.754255463], [37.824922103, 55.754257807], [37.824902899, 55.754260138], [37.824914282, 55.754289763], [37.824934477, 55.754286859], [37.824955171, 55.754283953], [37.82497734, 55.754335225], [37.82499386, 55.754372818], [37.82511305, 55.75435654], [37.825096562, 55.754318937], [37.825177383, 55.754308461], [37.825008331, 55.753924779], [37.824996982, 55.753899145], [37.824901141, 55.75368181]]], type=Polygon}","{coordinates=[37.824946194, 55.754022808], type=Point}",1.0,2.0,143494904.0
"город Москва, Федеративный проспект, дом 42, корпус 2","Федеративный просп., д.38, корп.1, стр.2",ТЭЦ №22,ПАО «МОЭК»,27120.0,04-04-0223/028,ЦТП,ОДС №12-Новогиреево,"{coordinates=[[[37.821991913, 55.753480729], [37.822040283, 55.75346178], [37.822194492, 55.753395783], [37.822075951, 55.75330969], [37.822109706, 55.753295058], [37.822058815, 55.753256975], [37.822022532, 55.753270762], [37.821905532, 55.753186084], [37.821717106, 55.753270992], [37.821991913, 55.753480729]]], type=Polygon}","{coordinates=[37.821979716, 55.753352736], type=Point}",1.0,2.0,143494904.0
"город Москва, 15-я Парковая улица, дом 60","15-я Парковая ул., д.48, стр.2",ТЭЦ №23,ПАО «МОЭК»,18981.0,04-06-0601/105-1,ЦТП,ОДС №12-Северное Измайлово,"{coordinates=[[[37.817127696, 55.810858669], [37.817224307, 55.810872791], [37.817328923, 55.810890484], [37.817372676, 55.810778999], [37.817389855, 55.810734046], [37.817419543, 55.810658523], [37.817222322, 55.810628494], [37.817194156, 55.810695481], [37.817127696, 55.810858669]]], type=Polygon}","{coordinates=[37.817275281, 55.810756522], type=Point}",1.0,3.0,143494907.0
"город Москва, Щёлковское шоссе, дом 92, корпус 8","Щёлковское шоссе, д.92, корп.5, стр.1",ТЭЦ №23,ПАО «МОЭК»,29982.0,04-06-0604/009,ЦТП,ОДС №12-Северное Измайлово,"{coordinates=[[[37.822643051, 55.809549759], [37.822856494, 55.809579714], [37.822898233, 55.809485219], [37.822936519, 55.809398994], [37.82305313, 55.80941551], [37.823066036, 55.809386672], [37.823044764, 55.809383307], [37.82306151, 55.809329084], [37.823068437, 55.809307962], [37.822670958, 55.809251976], [37.822624716, 55.809355614], [37.822722081, 55.809369332], [37.822708673, 55.809401591], [37.822687791, 55.809448984], [37.822643051, 55.809549759]]], type=Polygon}","{coordinates=[37.82280846, 55.809432247], type=Point}",1.0,3.0,143494907.0
"город Москва, 15-я Парковая улица, дом 48, корпус 1","15-я Парковая ул., д.48, стр.1",ТЭЦ №23,ПАО «МОЭК»,18966.0,04-06-0601/105-2,ИТП,ОДС №12-Северное Измайлово,"{coordinates=[[[37.819773684, 55.80841801], [37.81975931, 55.808454264], [37.819696258, 55.808609556], [37.819792582, 55.808621856], [37.819787597, 55.808633271], [37.819846411, 55.808641109], [37.819855846, 55.8086177], [37.819887778, 55.80862189], [37.819936421, 55.808628043], [37.819982581, 55.808513565], [37.820005906, 55.808455614], [37.820054044, 55.808335718], [37.819918181, 55.808318398], [37.819923156, 55.808305553], [37.819823322, 55.8082944], [37.819773684, 55.80841801]]], type=Polygon}","{coordinates=[37.81987062, 55.808484589], type=Point}",1.0,3.0,143494907.0
"город Москва, Щёлковское шоссе, дом 90","Щёлковское шоссе, д.88, корп.2, стр.1",ТЭЦ №23,ПАО «МОЭК»,29971.0,04-06-0601/104,ЦТП,ОДС №12-Северное Измайлово,"{coordinates=[[[37.820224709, 55.810902738], [37.820359623, 55.810919452], [37.820423489, 55.810927819], [37.820657389, 55.810956399], [37.820730834, 55.810965639], [37.820986293, 55.810997305], [37.821043769, 55.811004341], [37.821288851, 55.811034687], [37.821350319, 55.811042161], [37.821609769, 55.811074267], [37.821682412, 55.811083059], [37.821922701, 55.811112519], [37.821988963, 55.811120878], [37.82223564, 55.811151217], [37.822296311, 55.811158694], [37.822539791, 55.811188144], [37.822606848, 55.811196501], [37.822741765, 55.811213212], [37.822752939, 55.81121453], [37.822793545, 55.811110235], [37.822780771, 55.811108472], [37.820268483, 55.810794844], [37.820224709, 55.810902738]]], type=Polygon}","{coordinates=[37.821617246, 55.811019514], type=Point}",1.0,3.0,143494907.0
"город Москва, Щёлковское шоссе, дом 98/57","16-я Парковая ул., д.49, стр.1",ТЭЦ №23,ПАО «МОЭК»,29985.0,04-06-0604/013,ЦТП,ОДС №12-Северное Измайлово,"{coordinates=[[[37.82790448, 55.81231867], [37.828278164, 55.812371564], [37.828326657, 55.812258266], [37.828350128, 55.812204313], [37.828265501, 55.81219376], [37.828284234, 55.81214521], [37.828302979, 55.812098454], [37.828345138, 55.811990561], [37.828131183, 55.811964188], [37.828075757, 55.812106695], [37.827985545, 55.812095709], [37.82790448, 55.81231867]]], type=Polygon}","{coordinates=[37.828116794, 55.812169485], type=Point}",1.0,3.0,143494907.0
"город Москва, Лухмановская улица, дом 17","Лухмановская ул., д.13, стр.2",РТС Перово,ПАО «МОЭК»,240116.0,04-10-091,ЦТП,ОДС №136-Косино-Ухтомский,"{coordinates=[[[37.896511539, 55.722139155], [37.89652396, 55.722231516], [37.896579415, 55.722229139], [37.896582344, 55.722250892], [37.896639714, 55.72224843], [37.896646256, 55.722296962], [37.896746023, 55.722292674], [37.896739559, 55.722244795], [37.896797258, 55.722242312], [37.896794691, 55.722223312], [37.896951907, 55.72221654], [37.896954819, 55.722238063], [37.897017791, 55.722235348], [37.897023756, 55.722279368], [37.897115684, 55.722275398], [37.897109315, 55.722228446], [37.897169926, 55.722225826], [37.897167083, 55.722204893], [37.897270131, 55.722200431], [37.897293247, 55.7221995], [37.897364286, 55.722183933], [37.897377362, 55.722202941], [37.897429881, 55.722191429], [37.897458501, 55.722233018], [37.897553201, 55.722212255], [37.897523821, 55.722169573], [37.897579137, 55.722157442], [37.897566938, 55.722139724], [37.897719728, 55.722106207], [37.897732414, 55.722124625], [37.897786307, 55.722112799], [37.897816413, 55.7221565], [37.897912537, 55.722135401], [37.897883248, 55.722092899], [37.897940476, 55.722080334], [37.897927699, 55.722061798], [37.898048465, 55.722036056], [37.898117359, 55.722007053], [37.898138364, 55.722022948], [37.898182569, 55.722004334], [37.898230034, 55.722040241], [37.898307026, 55.722007817], [37.89825913, 55.72197159], [37.898310603, 55.721949908], [37.898289861, 55.721934223], [37.898416434, 55.721880898], [37.89843779, 55.721897045], [37.898487409, 55.721876136], [37.898537299, 55.721913849], [37.898619743, 55.721879101], [37.898570242, 55.721841689], [37.898622162, 55.721819802], [37.898602214, 55.721804729], [37.898708304, 55.721759998], [37.898763095, 55.721720416], [37.898790316, 55.721732419], [37.898827681, 55.721705422], [37.898892491, 55.721733994], [37.898953087, 55.721690202], [37.898888003, 55.721661514], [37.898928704, 55.721632094], [37.898906003, 55.72162209], [37.899001079, 55.721553355], [37.899028388, 55.721565387], [37.899068605, 55.721536305], [37.899129223, 55.721563009], [37.899191439, 55.721518013], [37.899127127, 55.721489688], [37.899162207, 55.721464313], [37.899136185, 55.721452854], [37.899212584, 55.721398931], [37.899245979, 55.721349725], [37.899281235, 55.721357346], [37.899301481, 55.721327507], [37.899377565, 55.72134395], [37.899414845, 55.721288988], [37.89933418, 55.721271559], [37.899355328, 55.721240369], [37.89932143, 55.721233048], [37.899378282, 55.721149184], [37.899414746, 55.721157058], [37.899435415, 55.721126562], [37.899509532, 55.721142562], [37.89954579, 55.721089048], [37.899469396, 55.721072561], [37.899491434, 55.721040024], [37.89946064, 55.72103338], [37.899505149, 55.720968048], [37.899512751, 55.720919924], [37.899548897, 55.720921742], [37.899554026, 55.720889236], [37.899633724, 55.72089324], [37.899642998, 55.720834398], [37.899562572, 55.720830362], [37.899568, 55.720795898], [37.899531228, 55.720794054], [37.899545463, 55.720703559], [37.899579359, 55.720705256], [37.899585088, 55.720668793], [37.899666299, 55.720672856], [37.899674855, 55.720618348], [37.899590577, 55.720614136], [37.899596261, 55.720577876], [37.899561354, 55.720576133], [37.899570703, 55.720516448], [37.899404294, 55.720508147], [37.899399462, 55.72053903], [37.899380202, 55.72053807], [37.899356299, 55.720690989], [37.899378023, 55.720692071], [37.899368174, 55.720755145], [37.899348288, 55.720754156], [37.899323826, 55.720910984], [37.899348069, 55.720912188], [37.899340792, 55.720940896], [37.899323156, 55.72097058], [37.899293051, 55.720964707], [37.899202454, 55.721112705], [37.899223252, 55.72111676], [37.899190601, 55.721170111], [37.899165569, 55.721165232], [37.899073831, 55.721315182], [37.89909038, 55.721318406], [37.899071054, 55.721347735], [37.899041023, 55.721370297], [37.899022636, 55.72136183], [37.898841643, 55.721487043], [37.898860562, 55.721495754], [37.898793731, 55.721541997], [37.898779658, 55.721535517], [37.898598783, 55.721660695], [37.898615393, 55.721668245], [37.898581565, 55.721693203], [37.898539418, 55.721709433], [37.898528307, 55.721701021], [37.898297382, 55.721795317], [37.898312871, 55.7218074], [37.898232933, 55.721840048], [37.898220179, 55.721830103], [37.897994925, 55.721922119], [37.898012991, 55.721936207], [37.897975708, 55.721950384], [37.897929597, 55.721961163], [37.897920495, 55.721948591], [37.89765112, 55.722006963], [37.897658845, 55.722018317], [37.897556685, 55.72204046], [37.897548202, 55.722027994], [37.89729526, 55.722082834], [37.897302962, 55.722094149], [37.897258734, 55.722102954], [37.897209829, 55.722105855], [37.897207818, 55.722093629], [37.8969396, 55.722107016], [37.896941688, 55.722120329], [37.896838707, 55.722125473], [37.896836613, 55.72211212], [37.896564912, 55.722125709], [37.896566591, 55.722136399], [37.896511539, 55.722139155]]], type=Polygon}","{coordinates=[37.89905221, 55.721425892], type=Point}",1.0,13.0,143494914.0
"город Москва, Лухмановская улица, дом 20","Лухмановская ул., д.20, стр.1",РТС Перово,ПАО «МОЭК»,240133.0,04-10-093,ЦТП,ОДС №136-Косино-Ухтомский,"{coordinates=[[[37.903733552, 55.720921292], [37.903811837, 55.720920702], [37.903812043, 55.72093651], [37.903908777, 55.72093549], [37.903908246, 55.720919505], [37.903987757, 55.720918837], [37.903986856, 55.720889208], [37.904008281, 55.720889], [37.904007256, 55.720855463], [37.904031426, 55.720855227], [37.904030232, 55.720816371], [37.904059681, 55.720816082], [37.904057915, 55.720758937], [37.90402622, 55.72075925], [37.90402499, 55.720719638], [37.904007676, 55.72071981], [37.9040066, 55.720685354], [37.903978938, 55.72068563], [37.903977983, 55.720655227], [37.903902356, 55.720655985], [37.90390184, 55.720639638], [37.903801781, 55.720640647], [37.903802305, 55.720657184], [37.903719899, 55.720658104], [37.903721052, 55.720688096], [37.903696232, 55.720688358], [37.903697494, 55.720726433], [37.903677765, 55.720726642], [37.90367946, 55.720758605], [37.903655288, 55.720759218], [37.903658127, 55.720825665], [37.903685504, 55.720825735], [37.903686551, 55.720857346], [37.903707553, 55.720857124], [37.903708741, 55.720893044], [37.903732606, 55.720892532], [37.903733552, 55.720921292]]], type=Polygon}","{coordinates=[37.903857653, 55.720787666], type=Point}",1.0,13.0,143494914.0
"город Москва, Лухмановская улица, дом 29","Лухмановская ул., д.29, стр.1",РТС Перово,ПАО «МОЭК»,240138.0,04-10-097,ЦТП,ОДС №136-Косино-Ухтомский,"{coordinates=[[[37.902216437, 55.723752763], [37.902281657, 55.723774169], [37.902263592, 55.723791705], [37.902466931, 55.723858426], [37.902482321, 55.723843483], [37.902709784, 55.723918103], [37.90273457, 55.723894034], [37.902864844, 55.723936761], [37.903031377, 55.723775007], [37.90306111, 55.723784757], [37.903184621, 55.723664764], [37.903151916, 55.723654042], [37.903222915, 55.723585051], [37.903252964, 55.723594899], [37.903366802, 55.723484256], [37.903334842, 55.723473782], [37.903417261, 55.723393657], [37.903447352, 55.723403516], [37.903566755, 55.723287412], [37.903527761, 55.72327464], [37.903654556, 55.723151321], [37.903621925, 55.723140636], [37.90368648, 55.723077838], [37.903367024, 55.722973242], [37.903383461, 55.72295725], [37.90316862, 55.722886922], [37.903151132, 55.722903941], [37.90309678, 55.722886153], [37.903025659, 55.722955382], [37.903083231, 55.722974221], [37.903070142, 55.722986963], [37.903284461, 55.723057076], [37.903302782, 55.723039235], [37.903418107, 55.723076955], [37.903403162, 55.72309151], [37.903472892, 55.723114313], [37.903436279, 55.723149983], [37.903471814, 55.7231616], [37.903396706, 55.72323479], [37.903359873, 55.723222751], [37.90324215, 55.723337491], [37.90327541, 55.72334836], [37.90320156, 55.723420353], [37.903170199, 55.723410107], [37.903051348, 55.723525993], [37.903087158, 55.723537691], [37.903021058, 55.723602156], [37.902986079, 55.723590732], [37.902855514, 55.723718094], [37.902894321, 55.723730765], [37.902835057, 55.723788586], [37.902806952, 55.723779411], [37.902772467, 55.723813063], [37.902701253, 55.723789821], [37.902682639, 55.723807988], [37.902558751, 55.723767563], [37.902580331, 55.723746494], [37.902375913, 55.723679806], [37.902356633, 55.723698634], [37.902293082, 55.723677905], [37.902216437, 55.723752763]]], type=Polygon}","{coordinates=[37.903300943, 55.72341523], type=Point}",1.0,13.0,143494914.0
